,Pix_a_a,Pix_a_o,Pix_b_a,Pix_b_o,Sn_active_and,Sn_active_or,Sn_blob_and,Sn_blob_or,Sn_unfiltered,St_active_and,St_active_or,St_blob_and,St_blob_or,St_unfiltered,Pix_a_a_si,Pix_a_o_si,Pix_b_a_si,Pix_b_o_si,Sn_active_and_pa,Sn_active_or_pa,Sn_blob_and_pa,Sn_blob_or_pa,St_active_and_pa,St_active_or_pa,St_blob_and_pa,St_blob_or_pa,harp_area_si,LL,area,hale,longitude,mcintosh1,mcintosh2,mcintosh3,hale_enc,area_si
2015-01-10,5486.7241379310335,7757.413793103448,123741.44827586207,125153.37931034484,5.971588550538502e+18,7.307873582080609e+18,2.442527046335408e+19,2.4476472504625963e+19,2.731746713984574e+19,-1.6821681590673037e+19,-2.04390454089444e+19,1.932373628394277e+19,1.95795324114469e+19,4.680681450760759e+19,727620017703568.0,1028746738413620.4,1.640992922583848e+16,1.6597171970047954e+16,8207.015207450386,7103.666343914461,1488.444595171985,1474.737536539199,-23118.772410582827,-19867.907858898725,1177.5636578320102,1179.6908802765347,5.175485755625433e+16,14,70,Beta,71,C,s,o,1,2.13059e+17
2015-10-30,30552.844660194176,34470.49514563107,148537.92233009712,149320.56310679612,1.6184787955763406e+20,1.7680262121403646e+20,3.227873283781572e+20,3.22818854725124e+20,3.2526424373582823e+20,3.015752142357897e+20,2.929130840900844e+20,1.052477618170989e+20,1.0530724232182848e+20,9.176560097535867e+19,4051754893025804.0,4571292752759515.0,1.9698305028368276e+16,1.9802094663400304e+16,39945.13089531137,38676.72248890808,16386.5534579396,16302.257928388844,74430.76449537568,64076.640883098975,5342.985686612508,5317.984996630943,5.927596498696272e+16,15,330,Beta,-67,E,h,c,1,1.004421e+18
2015-10-31,35886.90833333333,41109.95,172142.475,172911.34166666667,2.1673828761198e+20,2.352175796166576e+20,4.097944630418631e+20,4.0981990574115344e+20,4.132070161527335e+20,1.382657876995509e+20,1.1042650090615289e+20,-1.4478409001480036e+20,-1.449951514846028e+20,-1.6811778297206286e+20,4759129896162923.0,5451781754435416.0,2.2828614590101784e+16,2.2930577576311372e+16,45541.57846935982,43145.08360964582,17950.91250169623,17872.20162149432,29052.745084984657,20255.121330987433,-6342.219736697339,-6323.222823414238,5.927596498696272e+16,15,560,Beta-Gamma-Delta,-56,E,k,c,4,1.704472e+18
2015-11-01,39957.01666666667,45984.025,198859.19166666668,199628.175,2.3550614741277632e+20,2.5638903231750685e+20,4.352871249431495e+20,4.352945137901445e+20,4.3764387156445607e+20,-1.2036445859388723e+19,-4.495959002523474e+19,-2.651586587099452e+20,-2.6528891364269608e+20,-2.9181808498099795e+20,5298885900493802.0,6098155519296473.0,2.6371642700370804e+16,2.6473621158289908e+16,44444.46471112532,42043.70182200367,16505.878298473577,16442.57546738509,-2271.505007923845,-7372.65389230703,-10054.68873223498,-10020.877463513296,5.927596498696272e+16,15,640,Beta-Gamma-Delta,-43,E,k,c,4,1.947968e+18
2015-11-02,44384.10833333333,51900.96666666667,237345.15,238058.20833333328,2.3702303155448286e+20,2.6075596712985028e+20,4.3844341860023874e+20,4.384538911461671e+20,4.397004339130925e+20,-1.118246580919066e+19,-3.676737547411794e+19,-2.0532280427946056e+20,-2.054118957399353e+20,-2.195766540664004e+20,5885983125704399.0,6882828685291373.0,3.1475444710434748e+16,3.1570006693884364e+16,40269.06406159929,37885.000346890316,13929.697344510778,13888.305295516548,-1899.8467325460451,-5341.898971376396,-6523.269366592679,-6506.552175667641,5.927596498696272e+16,18,650,Beta-Gamma,-29,F,k,c,3,1.978405e+18
2015-11-03,45619.61666666667,54052.76666666667,260192.5,260829.51666666663,2.195530372809097e+20,2.434734891272433e+20,3.969555133507903e+20,3.969516410168629e+20,3.9734701613603455e+20,7.188911506408607e+19,4.872891059393994e+19,-7.373598818158714e+19,-7.375857688066992e+19,-7.967506447125283e+19,6049829634618168.0,7168188895634468.0,3.4505338102842184e+16,3.4589815847052636e+16,36290.78016091385,33965.830514807196,11504.17689482351,11475.968613770077,11882.832973134344,6797.938963859694,-2136.944375441826,-2132.3784204810913,5.927596498696272e+16,17,590,Beta-Delta,-16,F,k,c,2,1.795783e+18
2015-11-04,43374.83760683761,51752.29914529915,270291.7435897436,270886.4358974359,1.3519785260857555e+20,1.512840868637932e+20,2.808220527972708e+20,2.8082008635098867e+20,2.807007195205434e+20,1.8880328853262667e+20,1.7894403422764656e+20,9.874665084971326e+19,9.875351708942949e+19,9.81084326255304e+19,5752139038518811.0,6863113193531626.0,3.584464578714156e+16,3.5923510701172828e+16,23503.926400810597,22043.070338163154,7834.421198214469,7817.167110613732,32823.144097929166,26073.303642477942,2754.850792391882,2748.9940476838024,5.927596498696272e+16,17,560,Beta-Delta,-3,F,k,c,2,1.704472e+18
2015-11-05,39815.86666666667,48869.49166666667,269980.55,270677.15,8.274291134483797e+19,9.236583510044836e+19,2.0888782216486765e+20,2.0888250881798265e+20,2.08228874377246e+20,2.401856818778451e+20,2.4400278781874343e+20,1.8875609071088897e+20,1.8878128384491304e+20,1.9180036330074354e+20,5280167342221691.0,6480810680063268.0,3.5803376957219324e+16,3.5895756324504856e+16,15670.509281628742,14252.203876991922,5834.30502699405,5819.142155123931,45488.27078968755,37650.04100017336,5272.01919909481,5259.153258627351,5.927596498696272e+16,18,370,Beta-Delta,9,F,k,c,2,1.126169e+18
2015-11-06,35855.9,44512.5,260990.4416666667,261730.10833333328,6.354585024450259e+19,7.3472585214506254e+19,1.8479007261399813e+20,1.8479057967732736e+20,1.846999998744426e+20,2.254491870115084e+20,2.339986549206525e+20,2.1386824544088336e+20,2.138911458419358e+20,2.1617215681872888e+20,4755017736797560.0,5903009742028547.0,3.461115686008799e+16,3.470924749842973e+16,13363.95651119061,12446.631197538509,5339.031959000758,5323.958109022313,47412.90137927968,39640.567294784734,6179.1706733589845,6162.367704791422,5.927596498696272e+16,17,280,Beta,23,F,h,c,1,8.52236e+17
2015-11-07,31376.025,38903.925,242983.025,243836.35,8.442662252940211e+19,9.39630218284954e+19,1.681933595276178e+20,1.6819347782414916e+20,1.683120555419821e+20,1.437546456422307e+20,1.5939682717779922e+20,2.124974513589388e+20,2.1263602033659265e+20,2.20384125063573e+20,4160920668152345.0,5159230514532950.0,3.222310954726349e+16,3.2336272946041732e+16,20290.370632538812,18212.603907464985,5219.650179350907,5201.387250311964,34548.75906251413,30895.465269248383,6594.566891418613,6575.773920866206,5.927596498696272e+16,16,220,Beta,37,F,s,c,1,6.69614e+17
